"","CSP17NM","violence_syn","property_syn","damage_syn","pop","violence_syn_pol","property_syn_pol","damage_syn_pol","HHproperty_syn","HHdamage_syn","HHpop","HHproperty_syn_pol","HHdamage_syn_pol","all_syn_pol","all_syn","all_ME","violence_ME","property_ME","damage_ME"
"107","Forest of Dean",0.0636156220641525,0.0758334065033512,0.076565106681886,81961,0.015055941240346,0.0254046301987298,0.0138144993707378,2591,2616,34167,868,472,0.0314051805126829,0.127145837654494,0.247001247481048,0.236670502493287,0.335005789270552,0.180428134556575
"108","Fylde",0.0589912483334873,0.0682528307295399,0.0714347140604844,75757,0.0261361986351096,0.0203812526874015,0.0110362620037265,2381,2492,34885,711,385,0.0406035085866653,0.123315337196563,0.329265681866838,0.443052136943388,0.298614027719446,0.154494382022472
"109","Gateshead",0.0707343142837164,0.0845727617381161,0.0785382596406218,200214,0.00585373650194292,0.0119680552751419,0.0215133364739664,7540,7002,89154,1067,1918,0.0207627838213112,0.143366597740418,0.144823021181717,0.0827566727863296,0.141511936339523,0.273921736646672
"110","Gloucester",0.0755045690618631,0.0856779778805869,0.0831364295216727,121688,0.0174626914732759,0.0256934654408991,0.0151102992276076,4315,4187,50363,1294,761,0.0343501413450792,0.145371770429295,0.236291690220464,0.231279930343927,0.299884125144844,0.181753045139718
"111","Gosport",0.070247633802135,0.0833756703358736,0.0896697713801863,82622,0.0164847135145603,0.0290714084109512,0.018656505786057,2954,3177,35430,1030,661,0.0369514172980562,0.144453051245431,0.255802262253875,0.234665747760165,0.348679756262695,0.208057916273214
"112","Great Yarmouth",0.0700987900531472,0.0798973359633071,0.079802276670073,97277,0.00835757681671927,0.0247629458874973,0.0161600798498063,3362,3358,42079,1042,680,0.0260596029894014,0.139179867800199,0.187236871260802,0.11922569291685,0.309934562760262,0.202501488981537
"113","Greenwich",0.0811016786024348,0.10156860804592,0.0895343658765896,254557,0.0290936803937821,0.0448710970359741,0.0312731951110891,10263,9047,101045,4534,3160,0.0593187380429531,0.156958952218953,0.377925165811538,0.358730927585372,0.441781155607522,0.349287056482812
"114","Guildford",0.0686163737489339,0.0846904933948456,0.0830229929779705,137183,0.030011007194769,0.0280881181331406,0.0136364478535564,4571,4481,53973,1516,736,0.0464270354198407,0.134601226099444,0.344922826969943,0.437373844682885,0.331656092758696,0.164249051550993
"115","Gwynedd",0.0689810788191083,0.0798505898271492,0.0853581842090218,121874,0.016582700165745,0.0267185028490843,0.0274807996493435,4190,4479,52473,1402,1442,0.0399182762525231,0.140111918867027,0.284902787538065,0.240394909004401,0.334606205250597,0.321946863139094
"116","Hackney",0.0911844723271206,0.106273969908546,0.0738322352247025,246270,0.032886669103017,0.0488445274854951,0.0282721998229914,10807,7508,101690,4967,2875,0.0647297681406586,0.165554066674788,0.390988692943514,0.360660847880299,0.459609512353104,0.382924880127864
"117","Halton",0.0745948181254275,0.0912364945978391,0.0888355342136855,125746,0.0227681198606715,0.0319440276110444,0.0179884453781513,4864,4736,53312,1703,959,0.043937779332941,0.150939194884927,0.291095890410959,0.305223880597015,0.350123355263158,0.202491554054054
"118","Hammersmith and Fulham",0.0820031453261221,0.0976547958803822,0.0739049509864747,182493,0.0290312505137183,0.0454150639037101,0.0272986722918476,7870,5956,80590,3660,2200,0.0611420712027311,0.157764955368151,0.387551665451009,0.354026060808553,0.465057179161372,0.369375419744795
"119","Harborough",0.0655993066454288,0.0802624792251705,0.0788297323628861,85382,0.0247241807406713,0.0379964467877815,0.016505243853516,2801,2751,34898,1326,576,0.0470005387552411,0.130624721838327,0.359813503093338,0.376896982681664,0.473402356301321,0.20937840785169
"120","Haringey",0.0784659077536226,0.100691481535972,0.0794860477661714,254926,0.0274864078203086,0.0465597567554313,0.0274729047128635,10266,8104,101955,4747,2801,0.0570950001176812,0.150526035006237,0.379303155864801,0.350297455381693,0.462400155854276,0.345631786771964
"121","Harlow",0.0740017572976667,0.0998555748122473,0.10103986135182,81944,0.0191472224934101,0.0443096476025419,0.0266031195840555,3457,3498,34620,1534,921,0.0491067070194279,0.158876793908035,0.309086719410093,0.258740105540897,0.443737344518369,0.263293310463122
"122","Harrow",0.0656415233250786,0.0922176864290122,0.0881117387383111,239056,0.0235927983401379,0.0409526747994494,0.0289789718517112,7771,7425,84268,3451,2442,0.0482439261093635,0.129208218994713,0.373381248381248,0.359418812133571,0.444086990091365,0.328888888888889
"123","Hartlepool",0.0724888077541618,0.0868823267547114,0.0834940891329079,92028,0.0273177728517408,0.0237671266755701,0.0241875649206114,3513,3376,40434,961,978,0.0483874472986482,0.147346459773113,0.328392330383481,0.376855044221256,0.27355536578423,0.289691943127962
"124","Hastings",0.0757639550601635,0.0850360795937705,0.0759493670886076,90254,0.015844173111441,0.0299569960397483,0.0133628125075925,3500,3126,41159,1233,550,0.0355995302147273,0.149178983756953,0.238636363636364,0.209125475285171,0.352285714285714,0.175943698016635
"125","Havant",0.0691723840774253,0.0803141626551812,0.0804310966459434,120684,0.017732259454443,0.0278692677983278,0.0177349885989359,4121,4127,51311,1430,910,0.037121739418647,0.13751615789997,0.269944564955411,0.256348826066124,0.347003154574132,0.220499151926339
"126","Havering",0.0687470493019492,0.0831387154188829,0.0826140186627434,237232,0.0257047953058609,0.0379633535324437,0.0277574872169467,8081,8030,97199,3690,2698,0.052632022661361,0.1366594725838,0.385132634176434,0.373903979397878,0.456626655116941,0.3359900373599
"127","Herefordshire, County of",0.0616698550772031,0.0746306771026188,0.0796230799678239,183477,0.0175008311668493,0.0276944291934269,0.0162029647978141,5845,6236,78319,2169,1269,0.0362388746273375,0.127514620361135,0.284193879295606,0.283782589482987,0.371086398631309,0.20349583066068
"128","Hertsmere",0.0680988893443033,0.0863039871285635,0.0899492181607924,100031,0.0300306904859494,0.0207149680728041,0.0139775755442707,3433,3578,39778,824,556,0.0438264138117184,0.138187161979786,0.317152571800622,0.440986494421609,0.240023303233324,0.15539407490218
"129","High Peak",0.0658363772389209,0.0823191085092179,0.0862219483387254,90892,0.0285283633323065,0.0255225183587531,0.0183330765675551,3206,3358,38946,994,714,0.0473198961404744,0.138053954143379,0.342763787057698,0.433322192513369,0.310043668122271,0.212626563430613
"130","Hillingdon",0.0732689387302144,0.0941385435168739,0.0888299040054284,273936,0.0267799778050348,0.0420999062007304,0.0290079230446844,9434,8902,100214,4219,2907,0.0527933531919864,0.140204281291981,0.376545942145963,0.365502466244831,0.447212211151155,0.326555830150528
"131","Hinckley and Bosworth",0.0652277355868974,0.0795336844656985,0.0778808647552725,105078,0.023630065284836,0.0366705599753179,0.0161976331621747,3609,3534,45377,1664,735,0.0464607244142447,0.133205809018063,0.348789026219904,0.36227020717829,0.461069548351344,0.207979626485569
"132","Horsham",0.0599919269464817,0.0811499735994028,0.0802031935618957,131301,0.0129092695409784,0.0285308522841068,0.0133641643755804,4457,4405,54923,1567,734,0.0304338885461649,0.127485700794358,0.238723938108609,0.215183445474165,0.351581781467355,0.166628830874007
"133","Hounslow",0.0708702654386373,0.100113801605867,0.0874797159174728,253957,0.0253113716101545,0.045446882046743,0.029630566268361,9501,8302,94902,4313,2812,0.0533673023385849,0.140972684352075,0.378564844557415,0.357150794532726,0.453952215556257,0.338713562996868
"134","Huntingdonshire",0.0663449512707365,0.0814907763979635,0.0856734888148501,169508,0.0183059206645114,0.0247356958446916,0.0151298804321175,5650,5940,69333,1715,1049,0.034611935719848,0.134719305283526,0.256918899982484,0.275920327227459,0.30353982300885,0.176599326599327
"135","Hyndburn",0.0722496098298115,0.0886986401094901,0.0920182871785912,80734,0.0309906606881859,0.0252759092629801,0.0131912291430069,3046,3160,34341,868,453,0.0473530358956573,0.149119330145911,0.317551291635518,0.428938796502657,0.284963887065003,0.143354430379747
"136","Ipswich",0.0769582558627721,0.0842437781423435,0.0856748926664107,133384,0.0227238649313261,0.0376278404132779,0.0268770288666271,4827,4909,57298,2156,1540,0.0504333353325736,0.149950518802855,0.336333183340833,0.295275207014126,0.446654236585871,0.313709513139132
"137","Isle of Anglesey",0.0634686241057476,0.0747859057331503,0.0816826828789959,69751,0.0147524766670012,0.0243184938223181,0.0260508596456822,2288,2499,30594,744,797,0.0368453498874568,0.132098464538143,0.278923377469069,0.232437316467133,0.325174825174825,0.318927571028411
"138","Isle of Wight",0.0593570317867862,0.0746828190226733,0.072996644020627,138265,0.0151592955556359,0.0268478349840386,0.0154702463779979,4562,4459,61085,1640,945,0.0338552779083644,0.124601309080389,0.271708846064546,0.255391738759595,0.359491451117931,0.211930926216641
"139","Isles of Scilly",0.0417612346799818,0.0728008088978766,0.0677451971688574,2203,0.00726282342260554,0.0434782608695652,0.0111223458038423,72,67,989,43,11,0.0317748524738992,0.104857013163867,0.303030303030303,0.173913043478261,0.597222222222222,0.164179104477612
"140","Islington",0.0841043056397817,0.0987002437043054,0.0670935054940357,206125,0.0294966646452395,0.0447753217324383,0.0263264782590106,9234,6277,93556,4189,2463,0.0617683444511825,0.159354760460885,0.387615307334003,0.350715274573143,0.453649555988737,0.392384897243906
"141","Kensington and Chelsea",0.0708923472571526,0.0876540694713253,0.0656132219619028,158649,0.0250300978890507,0.0406310481817256,0.0243582560863808,6884,5153,78536,3191,1913,0.0572017472533706,0.146764240556196,0.389752619824772,0.353071930292522,0.463538640325392,0.371240054337279
"142","Kettering",0.0731532495319604,0.0857409133271202,0.0898466033601169,93475,0.0281893554426317,0.019092718067555,0.0160701241782323,3404,3567,39701,758,638,0.0431238299010431,0.14772933939556,0.291911072488956,0.385346592570927,0.222679200940071,0.178861788617886
"143","King's Lynn and West Norfolk",0.0588941411045025,0.0745827841910539,0.0782031535322419,147451,0.00652420126007962,0.0227702176985249,0.0163075408482462,4697,4925,62977,1434,1027,0.0232144915938176,0.124149717533282,0.186987872828581,0.110778443113772,0.305301256120928,0.208527918781726
"144","Kingston upon Hull, City of",0.0813280500456308,0.0945237841486376,0.0878450389001385,256406,0.0326045412353845,0.0322213932999396,0.0151159899108316,10643,9891,112596,3628,1702,0.0533918863053127,0.161411979438859,0.330780196680117,0.400901548937803,0.34088133045194,0.172075624304924
"145","Kingston upon Thames",0.0732287892040485,0.0872892408743066,0.0857335910369428,160060,0.0268149443958516,0.0396926413048602,0.0285673879225004,5555,5456,63639,2526,1818,0.0539547669623891,0.142021741846807,0.379904979764209,0.36618036003754,0.454725472547255,0.333211143695015
"146","Kirklees",0.0725776290187427,0.0874974787494597,0.0870133986457283,422458,0.0317641043606702,0.0362944820631033,0.0272698458435384,15183,15099,173525,6298,4732,0.0578732086976694,0.144258127435153,0.40117815007466,0.437656958351,0.414806033063294,0.313398238293927
"147","Knowsley",0.0756993138807208,0.086101462746441,0.0819920747517245,145893,0.0179172407175121,0.0259608955856693,0.0284395740586729,5280,5028,61323,1592,1744,0.0407833137984687,0.146353834659648,0.278662420382166,0.236689605215502,0.301515151515151,0.346857597454256
"148","Lambeth",0.088080610783738,0.104255597344963,0.0750055761938823,303086,0.0312089637924549,0.0472169024050701,0.0285347300737596,13555,9752,130017,6139,3710,0.0637046910777799,0.164979576753793,0.386136831790093,0.354322744980521,0.452895610475839,0.380434782608696
"149","Lancaster",0.0734598012646793,0.080453806509633,0.0808169900729826,138375,0.0320722673893406,0.0234858704299402,0.0113624571962229,4652,4673,57822,1358,657,0.0466341463414634,0.140849141824752,0.331092868137506,0.43659616330546,0.291917454858126,0.140594906912048
"150","Leeds",0.0794240736674717,0.0884945538933736,0.0818163670164319,751485,0.03432270770541,0.0364695754157881,0.0264912849817215,28371,26230,320596,11692,8493,0.0611828579412763,0.152081545207156,0.402302974091541,0.43214489159937,0.412110958372987,0.323789553945864
"151","Leicester",0.0799844772752767,0.102253807106599,0.0891776649746193,329839,0.0273042302456653,0.0449055837563452,0.0194355329949239,12590,10980,123125,5529,2393,0.0513220086163249,0.151443583081443,0.33888532991672,0.34136911530589,0.439158061953932,0.217941712204007
"152","Lewes",0.0594962154622469,0.0738721225196178,0.0788743747184751,97502,0.0129228118397571,0.0275716554846969,0.0134420710746545,3116,3327,42181,1163,567,0.0306660376197411,0.125576911242846,0.244201241424371,0.217203930356835,0.373234916559692,0.170423805229937
"153","Lewisham",0.0816608369429291,0.103746199102428,0.0854157514363732,275885,0.0291425775232434,0.0471268229233963,0.0306139149460337,12044,9916,116091,5471,3554,0.0618554832629538,0.16125922032731,0.383577963092,0.356873363220738,0.454251079375623,0.358410649455426
"154","Lichfield",0.0608718977884634,0.0779885503590142,0.0766786338055502,100654,0.0154390287519622,0.00919367358820105,0.00851445759751601,3215,3161,41224,379,351,0.0226915969559084,0.124217616786218,0.182676157722147,0.253631467275992,0.117884914463453,0.111040809870294
"155","Lincoln",0.0826054885023679,0.088135593220339,0.0855743879472693,93541,0.0177569194257064,0.0222975517890772,0.0173006905210295,3510,3408,39825,888,689,0.0346158369057419,0.156562363027977,0.221099351314442,0.214960528018636,0.252991452991453,0.202171361502347
"156","Liverpool",0.0821864648435406,0.0909958114422681,0.0811175943636055,466415,0.0184878273640428,0.0278526983512094,0.0287533593201462,18792,16752,206515,5752,5938,0.0435513437603851,0.158393276374045,0.274957023160117,0.224949782172019,0.306087696892295,0.354465138490926
"157","Luton",0.0772486355874233,0.0944772724213587,0.0864280618631634,203201,0.0250884592103385,0.0265166300997402,0.0205672136002046,7019,6421,74293,1970,1528,0.0423029414225324,0.143390042371839,0.295020077564609,0.324775434796458,0.280666761646958,0.23796916368167
"158","Maidstone",0.0685561063019279,0.0845587655838732,0.0838337510047756,155143,0.0302752944058063,0.0249972417923621,0.015650858196605,5365,5319,63447,1586,993,0.0468986676807848,0.137421604584158,0.341275797373358,0.441613388491914,0.295619757688723,0.186689227298364
"159","Maldon",0.0593876259553132,0.0740209939187357,0.0803346632064144,61629,0.0156419867270279,0.0328465739628927,0.0213425262423984,1911,2074,25817,848,551,0.0383423388339905,0.12404874328644,0.309090909090909,0.263387978142077,0.443746729461015,0.265670202507232
"160","Manchester",0.0924756572396234,0.102395972073826,0.0867301884675244,503127,0.0380718983477333,0.0357517478252809,0.014841268679654,20988,17777,204969,7328,3042,0.0586829965396411,0.169523798166268,0.346163766824556,0.411696434328454,0.349151896321708,0.171119986499409
"161","Mansfield",0.0697068902800911,0.0828881766381766,0.078258547008547,104466,0.0197384795052936,0.028556801994302,0.0132879273504274,3724,3516,44928,1283,597,0.0377347653782092,0.139011735875787,0.271450213469219,0.283163965943422,0.344522019334049,0.169795221843003
"162","Medway",0.0767377095765843,0.0901900968844448,0.0934666553681891,263925,0.0333352278109311,0.0266267453793935,0.0175879633552712,9579,9927,106209,2828,1868,0.0511281614094913,0.150645069622052,0.339394853995322,0.434404779538834,0.295229147092598,0.188173667774756
"163","Melton",0.06757185961569,0.0755700325732899,0.0769660307119591,50376,0.0245751945370811,0.0326198231735691,0.0151233131689158,1624,1654,21490,701,325,0.0449420358901064,0.132642528188026,0.338820712361568,0.363689776733255,0.431650246305419,0.196493349455865
"164","Merton",0.0718552978822493,0.0946836471678708,0.0901507167616847,199693,0.0260049175484369,0.0428533336719276,0.029076780476656,7457,7100,78757,3375,2290,0.0543734632661135,0.14475219461874,0.375631356811735,0.361906753083839,0.4525948772965,0.322535211267606
"165","Mid Sussex",0.0657014157014157,0.0790642582173527,0.0820951418767092,139860,0.0140783640783641,0.0277831002107683,0.0129944782177011,4539,4713,57409,1595,746,0.0308165308165308,0.131853281853282,0.233718344992137,0.214277941016433,0.351398986560917,0.158285593040526
"166","Middlesbrough",0.0781218391468948,0.0884394175130675,0.0766917818995507,138412,0.0281044996098604,0.0233554184221107,0.0213799975525759,5059,4387,57203,1336,1223,0.046592780972748,0.146367366991301,0.318327656843872,0.359752150189587,0.264083811029848,0.278778208342831
"167","Milton Keynes",0.0756286647831172,0.0968514160512862,0.0933417187373205,248821,0.0166665996841103,0.0275703968189564,0.0156009088695934,9548,9202,98584,2718,1538,0.0337712652870939,0.150984040736111,0.223674403747871,0.220374109894782,0.284666945957269,0.16713757878722
"168","Mole Valley",0.0613762811127379,0.0767556101373228,0.0787652115663727,85375,0.0266002928257687,0.0250921067321648,0.0118343195266272,2750,2822,35828,899,424,0.0420966325036603,0.126641288433382,0.332408435072142,0.433396946564885,0.326909090909091,0.15024805102764
"169","Monmouthshire",0.0590322262737755,0.0799571051186148,0.0782570031124944,91323,0.0115962024900627,0.0211335757068501,0.0107498757617765,3057,2992,38233,808,411,0.0249444280192285,0.125269647295862,0.199125874125874,0.196438508625487,0.264311416421328,0.137366310160428
"170","Neath Port Talbot",0.0674691728893085,0.083138774361267,0.0795456427069362,139812,0.0277086373129631,0.0281158412398788,0.0198698524663454,5021,4804,60393,1698,1200,0.0484364718336051,0.137742110834549,0.351646069166061,0.410685889960776,0.338179645488946,0.249791840133222
"171","New Forest",0.0576271378540422,0.0734132406720546,0.0804279077031195,176462,0.0145073726921377,0.0261976340139773,0.0162027095615508,5641,6180,76839,2013,1245,0.032970271219866,0.12461606464848,0.264574806730332,0.25174550103255,0.356851622052828,0.201456310679612
"172","Newark and Sherwood",0.0652864993859794,0.0829557337051237,0.0774608902466529,114817,0.0184554552026268,0.0281918274455129,0.0125479261066574,4046,3778,48773,1375,612,0.0357612548664396,0.133429718595678,0.268015665796345,0.282684098185699,0.339841819080573,0.161990471148756
"173","Newcastle-under-Lyme",0.0706622211817132,0.0786320234336364,0.0846616198120744,123871,0.0167028602336301,0.0104804656293986,0.00987179974892533,4134,4451,52574,551,519,0.0253408788174795,0.139968192716616,0.181047410312608,0.236376099622986,0.133284954039671,0.116603010559425
"174","Newcastle upon Tyne",0.0849248867680074,0.0900275707835053,0.0786748952224868,280177,0.00702413117422201,0.012411120500542,0.0200848463120876,10547,9217,117153,1454,2353,0.0206119702902094,0.155466008987176,0.13258184489646,0.0827099268723207,0.13785910685503,0.255289139633286
"175","Newham",0.0841244999740246,0.112924674198918,0.0883282932258986,307984,0.0295340017663255,0.0506013652616752,0.0310779262995104,11464,8967,101519,5137,3155,0.0564574783105616,0.150462361681126,0.375226586102719,0.351074916052337,0.448098394975576,0.351845656295305
"176","Newport",0.0735645276390185,0.0894036487281763,0.0862813051723011,145736,0.0141145633199758,0.0235238344340548,0.0125711109658013,5469,5278,61172,1439,769,0.0292652467475435,0.147307460064775,0.198667784609652,0.191866430370301,0.263119400255988,0.145699128457749
"177","North Devon",0.0607405432174012,0.0776030711753718,0.0775442363981349,157506,0.00895203992228867,0.0398605615779487,0.00748672540338594,5276,5272,67987,2710,509,0.0293893565959392,0.127709420593501,0.230126771066368,0.147381624333647,0.513646702047005,0.0965477996965099
"178","North East Derbyshire",0.0580269230380821,0.0758996981657766,0.0797074529835152,99023,0.0257717903921311,0.0234269793359647,0.0179243092639889,3269,3433,43070,1009,772,0.0437575108813104,0.125708168809267,0.348088046272494,0.444135050469892,0.308657081676354,0.224876201572968
"179","North East Lincolnshire",0.0718599639133921,0.0819716814667107,0.0804366849814222,159616,0.0291825380914194,0.028705868851048,0.013226792144261,5714,5607,69707,2001,922,0.0474952385725742,0.14278643744988,0.33263130182967,0.406102877070619,0.350192509625481,0.164437310504726
"180","North Hampshire",0.0704488159279036,0.0898780893822298,0.0910539849400364,352639,0.0171450123213825,0.0309558047446677,0.0187505755512896,12688,12854,141169,4370,2647,0.0370435487850181,0.142879828946883,0.259263669742979,0.243368353258463,0.344419924337957,0.205928115761631
"181","North Hertfordshire",0.0677974101987193,0.087878561000262,0.0913974469359488,127114,0.0305001809399437,0.0213566428330775,0.0144311758319919,4695,4883,53426,1141,771,0.0455417971269884,0.143147096307252,0.318146845460541,0.449872360176375,0.243024494142705,0.157894736842105
"182","North Kesteven",0.0598797394354435,0.0741755851387801,0.0776342121291221,107766,0.0126106564222482,0.0187287914382668,0.0154659357870008,3410,3569,45972,861,711,0.027197817493458,0.124640424623722,0.218210244192972,0.210599721059972,0.252492668621701,0.199215466517232
"183","North Lincolnshire",0.068422058454666,0.0807820723218833,0.0774715635787448,167446,0.0283673542515199,0.0282666515760285,0.0129590855073284,5710,5476,70684,1998,916,0.0457699795755049,0.135225684698351,0.338471050655832,0.414593698175788,0.349912434325744,0.1672753834916
"184","North Norfolk",0.0537246672381009,0.0693654171915041,0.0753594231855101,101499,0.00658134562902098,0.0206966946097381,0.0143986448334274,3194,3470,46046,953,663,0.0225026847555148,0.119380486507256,0.18849550218701,0.122501375389694,0.298371947401378,0.191066282420749
"185","North Somerset",0.0631152315788434,0.0764391852834166,0.0782300202885738,202566,0.0182212217252649,0.0234962086436125,0.0153694447278044,6744,6902,88227,2073,1356,0.0351490378444556,0.130480929672304,0.269380651507699,0.288697692608526,0.307384341637011,0.196464792813677
"186","North Tyneside",0.0687297374017062,0.0844734103729668,0.0795881483104223,200801,0.00568722267319386,0.0125088997206857,0.0203735144312394,7712,7266,91295,1142,1860,0.0206373474235686,0.143320999397413,0.143993884429619,0.0827476269835519,0.148080912863071,0.255986787778695
"187","North Warwickshire",0.0636952946108943,0.0774833410816674,0.0818998915233225,62014,0.0242042119521398,0.0322330698899737,0.0132496513249651,2000,2114,25812,832,342,0.0431354210339601,0.130035153352469,0.33172123015873,0.38,0.416,0.161778618732261
"188","North West Leicestershire",0.0636795480806265,0.0803516663259047,0.0837507667143733,93468,0.0234411777292763,0.0366489470455939,0.0159987732570027,3144,3277,39128,1434,626,0.0454808062652459,0.132376856250267,0.343570678089388,0.368111559139785,0.456106870229008,0.191028379615502
"189","North Worcestershire",0.0631412557191853,0.0813296895609369,0.0825711009767494,275826,0.0181636248939549,0.0299921549695251,0.01669008681259,9434,9578,115997,3479,1936,0.0377955667703552,0.132068767991415,0.286180959701329,0.287666513550758,0.3687725249099,0.20212988097724
"190","North Yorkshire",0.0618691257670762,0.0772972088201595,0.0802473947169458,598376,0.0115863604155247,0.0302890948346415,0.0155732402160612,19834,20591,256594,7772,3996,0.0312529245825367,0.129426982365603,0.241471476900034,0.187272088814457,0.391852374710094,0.19406536836482
"191","Northampton",0.0782339710188665,0.0932030519209746,0.0887401246464032,212069,0.0299996699187529,0.0204438133234157,0.0154850052405585,8270,7874,88731,1814,1374,0.0450325130028434,0.154360137502417,0.291736673285474,0.383460912542945,0.219347037484885,0.174498348996698
"192","Northumberland",0.063738023213133,0.0808393607345489,0.0842464665713832,316028,0.0053982558507474,0.0117660646483896,0.021265537701936,11199,11671,138534,1630,2946,0.0198779854949561,0.136105028668346,0.146048868946598,0.0846944347912426,0.145548709706224,0.252420529517608
"193","Norwich",0.0835697899058199,0.096420696629586,0.0922926441088214,132512,0.00957649118570394,0.029360566322386,0.0197118652497555,5816,5567,60319,1771,1189,0.0319140907993238,0.169471444095629,0.188315447299283,0.114592739750768,0.304504814305364,0.213580025148195
"194","Nottingham",0.0897932478408793,0.0983739128366539,0.0833181374919726,305680,0.0245878042397278,0.0341787506639922,0.014936851368815,12408,10509,126131,4311,1884,0.0448540957864433,0.164763805286574,0.272232701280651,0.273826872631886,0.347437137330754,0.179274907222381
"195","Nuneaton and Bedworth",0.0702503752435091,0.0859023733186621,0.0835878659103413,125252,0.0259237377447067,0.0353057236629925,0.0145889852213011,4528,4406,52711,1861,769,0.0469214064446077,0.141578577587583,0.331416004060227,0.369019206728037,0.410998233215548,0.174534725374489
"196","Oadby and Wigston",0.0645006231084209,0.0776043863348798,0.0762922348751113,56170,0.0232152394516646,0.0360373025914991,0.0149022915787994,1656,1628,21339,769,318,0.0425672066939648,0.122965996083318,0.346170551614304,0.359922715981231,0.464371980676329,0.195331695331695
"197","Oldham",0.0752299941751113,0.0910783362875266,0.0896179614951562,224897,0.0324993219118085,0.0323066118190027,0.0141578319565678,8170,8039,89703,2898,1270,0.0510322503190349,0.147302987589874,0.346444095629075,0.431999527158816,0.354712362301102,0.157979848239831
"198","Oxford",0.0869024265005991,0.090961625282167,0.0851467268623025,151906,0.0183271233525996,0.0270880361173815,0.0146997742663657,5037,4715,55375,1500,814,0.033560228035759,0.151100022382263,0.222106042783078,0.210893114158018,0.297796307325789,0.172640509013786
"199","Pembrokeshire",0.0633539966840631,0.0757689846014834,0.0819999247016302,122439,0.00565179395454063,0.0195775761454764,0.013327811452882,4025,4356,53122,1040,708,0.0199282908223687,0.131804408725978,0.151195935060107,0.0892097460358386,0.258385093167702,0.162534435261708
"200","Pendle",0.0697692617269597,0.0863232301595802,0.0927760522651815,89452,0.0305415194741314,0.0250615829495555,0.0133072721430866,3224,3465,37348,936,497,0.0465612842641864,0.144546796047042,0.322119102861562,0.437750360519148,0.290322580645161,0.143434343434343
"201","Peterborough",0.0753630922883391,0.0890128743768829,0.0850006079191603,183631,0.020219897511858,0.0271131945476406,0.01621117760696,6589,6292,74023,2007,1200,0.0376842689959756,0.145509200516253,0.258982035928144,0.268299732639642,0.304598573379876,0.190718372536554
"202","Plymouth",0.0771420993509735,0.0879541108986616,0.087121593310584,256384,0.0116387918122816,0.0461269635064543,0.00803242244321041,9614,9523,109307,5042,878,0.0347291562656016,0.151784042685971,0.228806372863934,0.15087470927293,0.524443519866861,0.0921978368161293
"203","Poole",0.0643706187138068,0.076137257988352,0.0771289154730049,147645,0.0196823461681737,0.0275145600503699,0.0257830946009759,4837,4900,63530,1748,1638,0.0426157336855295,0.130319347082529,0.327010030663687,0.305765993265993,0.361381021294191,0.334285714285714
"204","Portsmouth",0.0823579900124844,0.0920290618089923,0.0900752284347104,205056,0.0194580992509363,0.0324897920980895,0.0188597568822903,7866,7699,85473,2777,1612,0.0408620084269663,0.158264083957553,0.258188765291344,0.236262434864993,0.35303839308416,0.209377841278088
"205","Powys",0.0587173625315846,0.0765618304910446,0.0800239952009598,132976,0.00564763566357839,0.0192304396263604,0.0129231296597823,4467,4669,58345,1122,754,0.0197554445915052,0.127421489592107,0.155040132200189,0.0961834016393443,0.251175285426461,0.161490683229814
"206","Preston",0.0814610347926563,0.0887835044383067,0.0879149512741675,140202,0.0351421520377741,0.0250143311272083,0.0136710268035506,5111,5061,57567,1440,787,0.0510263762285845,0.154013494814625,0.331311073032927,0.431398301374661,0.281745255331638,0.155502865046434
"207","Reading",0.0823902683399915,0.0966454055257758,0.094132243235935,155698,0.0174632943261956,0.0280901557206254,0.0159856208942404,6076,5918,62869,1766,1005,0.0352605685365258,0.159424013153669,0.221174764321972,0.211958216401621,0.290651744568795,0.169820885434268
"208","Redbridge",0.0728286195648278,0.0958579284597144,0.0930326421472176,278970,0.026164103667061,0.0425609202361132,0.0305433630997427,9500,9220,99105,4218,3027,0.0521346381331326,0.139932609241137,0.372569613443656,0.35925579563912,0.444,0.328308026030369
"209","Redcar and Cleveland",0.0687764930424554,0.0817045549869977,0.0799932891535945,135177,0.0255960703374095,0.0224981125744485,0.0224142269943797,4870,4768,59605,1341,1336,0.0453997351620468,0.140075604577702,0.324108793240032,0.37216306335377,0.275359342915811,0.280201342281879
"210","Reigate and Banstead",0.0687706315522182,0.0831062916117857,0.0820597946700828,137835,0.0297964958102079,0.0274073940421847,0.0124316619454017,4606,4548,55423,1519,689,0.0458156491457177,0.135183371422353,0.338914828530027,0.433273552062454,0.329787234042553,0.151495162708883
"211","Ribble Valley",0.0619967793880837,0.07627365356623,0.0830526096901643,57132,0.0280403276622558,0.023123310459555,0.0125181950509461,1834,1997,24045,556,301,0.0430406777287685,0.129052019883778,0.333514173335142,0.452286843591191,0.303162486368593,0.150726089133701
"212","Richmond upon Thames",0.0692817797743195,0.0873426442036701,0.0885952276570427,186990,0.0253649927803626,0.0406338072274065,0.0288344710966368,6973,7073,79835,3244,2302,0.0550243328520242,0.144398096154875,0.381059960742195,0.366113469702817,0.465223003011616,0.325463028417927
"213","Rochdale",0.0753003084568184,0.0906318530701754,0.0875251279239766,211699,0.032376156713069,0.0328376279239766,0.0136947185672515,7935,7663,87552,2875,1199,0.0516204611264106,0.14898039197162,0.346491645264593,0.429960479267298,0.36231884057971,0.156466135978076
